fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2015-01;29;28;20;11;;10;22;16;;18;23
2015-02;34;36;25;;;13;29;19;;23;30
2015-03;34;34;27;20;;15;31;20;26;25;33
2015-04;27;30;16;;;8;20;13;16;15;22
2015-05;29;28;15;11;;9;20;13;16;14;22
2015-06;19;25;9;8;;5;13;8;10;8;15
2015-07;21;27;10;9;;5;15;9;12;9;15
2015-08;22;27;12;10;;5;16;9;14;10;17
2015-09;28;34;14;14;;7;19;12;14;10;20
2015-10;28;40;20;15;;8;22;13;17;14;22
2015-11;28;33;20;17;;10;25;17;20;15;
2015-12;25;28;14;11;;8;20;13;13;12;19
