Fecha	Kennedy - Ken	Carvajal - Carv	Centro de Alto rendimiento - CdAR	Usaquén - Usaq	Puente Aranda - Puen	San Cristóbal - SanC	Tunal - Tunal	Guaymaral - Gua	Las Ferias - LFer	MinAmbiente - MinA	Suba - Suba
2018-01	26	29	16	13	18	15	22	16	 	 	18
2018-02	33	30	23	24	24	25	32	22	 	 	26
2018-03	32	33	21	21	23	20	28	21	24	 	26
2018-04	27	29	17	14	19	15	24	14	18	19	18
2018-05	21	27	 	9	16	8	16	9	14	14	13
2018-06	17	29	 	7	11	4	 	8	 	8	12
2018-07	17	27	8	6	 	5	12	 	8	11	10
2018-08	20	30	7	6	10	5	 	 	7	9	11
2018-09	22	27	14	11	15	10	19	14	15	14	13
2018-10	23	27	15	15	17	13	23	16	18	15	14
2018-11	25	 	14	15	20	13	16	 	19	16	15
2018-12	28	31	11	11	18	10	16	13	13	12	16
